Word,Definition
Niels Bohr,dansk fysiker
Niels Bohr,dansk fysiker
H.C. Ørsted,dansk udmærkelse
Ole Rømer,dansk astronom
Lars Løkke Rasmussen,dansk politiker
Lars Løkke Rasmussen,dansk politiker
Poul Nyrup Rasmussen,dansk politiker
Anders Fogh Rasmussen,generalsekretær i NATO. Tidligere statsminister i Danmark. Tidligere formand for Venstre
Peter Schmeichel,dansk fodboldspiller
Peter Schmeichel,dansk fodboldspiller
Kasper Schmeichel,dansk fodboldmålmand
Brian Laudrup,dansk fodboldspiller
Caroline Wozniacki,dansk tennisspiller
Caroline Wozniacki,dansk tennisspiller
Steffi Graf,tysk tennisspiller
Serena Williams,amerikansk tennisspiller
Monaco,europæisk mikrostat ved Middelhavet
Monaco,europæisk mikrostat ved Middelhavet
Paris,Frankrigs hovedstad
Milano,major city in Italyengelsk
Pia,kvindenavn
Pia,kvindenavn
Lone,pigenavn
Marianne,pigenavn
Ole,drengenavn
Finland,land i Nordeuropa
Sverige,land i Nordeuropa
Norge,land i Nordeuropa
Kina,"Folkerepublikken, et land i Asien"
Kina,"Folkerepublikken, et land i Asien"
Japan,østasiatisk østat
Sydkorea,østasiatisk republik
Irland,vesteuropæisk land
Viborg,gammel jysk by
Randers,by i Østjylland
Hobro,købstad i bunden af Mariager Fjord
Kattegat,hav mellem Danmark og Sverige
Kattegat,hav mellem Danmark og Sverige
Øresund,sund mellem Danmark og Sverige
Alssund,farvand mellem Als og Sundeved
Sjælland,dansk ø
Nielsen,efternavn
Jensen,efternavn
Olsen,efternavn
LX,Wikimedia-flertydigside
